問い合わせ番号,発注機関,発注地域,件名,カテゴリ,入札種別,資格ランク,案件登録日,入札日,開札日,落札会社名,落札価格,予定価格,応札企業,リンク
"N17763981","栃木県市町村/宇都宮市","栃木県","【No.304（週休２日制工事（受注者希望型））】舗装工事（市道２６６９号線）","道路関連工事","競争・公募","","2023-12-25","2024-01-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk4MQ=="
"N17763980","栃木県市町村/宇都宮市","栃木県","【No.401】橋梁維持修繕工事（７２７－１号橋）","土木工事,橋りょう関連工事","競争・公募","","2023-12-25","2024-01-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk4MA=="
"N17763979","栃木県市町村/宇都宮市","栃木県","【No.307】宝井団地東公園施設改修工事（管理施設工）","土木工事,造園・公園等整備","競争・公募","","2023-12-25","2024-01-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk3OQ=="
"N17763978","栃木県市町村/宇都宮市","栃木県","【No.309】道路修繕工事（側溝修繕）","土木工事,道路関連工事","競争・公募","","2023-12-25","2024-01-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk3OA=="
"N17763977","栃木県市町村/宇都宮市","栃木県","【No.303】道路修繕工事（舗装修繕）","道路関連工事","競争・公募","","2023-12-25","2024-01-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk3Nw=="
"N17763976","栃木県市町村/宇都宮市","栃木県","【No.308（週休２日制工事（発注者指定型））】整地工事（分割９号）","土木工事","競争・公募","","2023-12-25","2024-01-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk3Ng=="
"N17763975","栃木県市町村/宇都宮市","栃木県","【No.404】田んぼダム整備ほ場内農地法面復旧工事","土木工事","競争・公募","","2023-12-25","2024-01-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk3NQ=="
"N17763974","栃木県市町村/宇都宮市","栃木県","【No.403】白沢公園木道改修工事その２","土木工事,道路関連工事","競争・公募","","2023-12-25","2024-01-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk3NA=="
"N17763973","栃木県市町村/宇都宮市","栃木県","【No.302】県単農道舗装工事（上田西芦沼地区）","道路関連工事","競争・公募","","2023-12-25","2024-01-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk3Mw=="
"N17763972","栃木県市町村/宇都宮市","栃木県","【No.301】中央卸売市場青果棟東駐車場整備工事","土木工事,道路関連工事","競争・公募","","2023-12-25","2024-01-11",,,,,,"https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyM04xNzc2Mzk3Mg=="
